id,deviceId,key,latitude,longitude,windspeed
1,d7c98812-b3ed-4422-9333-b415fba145f0,1d696d615e27c14ca76659c760b3360bd6ec6fd859e41660bff0ea69fdeb4253,30.62354,109.90441,10.4
2,696cf4bb-28e6-4011-99f2-1ad65268bc57,79f9fb881997098b30578e95a8e0175f4ff717c62e40851bd490f1c6b0e1afca,47.03728,125.94673,11.68
3,526ac5e8-1900-498a-8a2b-12f1722c1c04,c1ae04391c9cc84fbaa1af0266f944a684993d4d23e0905041debbc10f4b1ca9,29.365,48.00139,9.57
4,ff2d9065-d4b1-4db2-af17-410eaec6eff6,0236f54415c539d9a6044d1a2493287c4a0ee90bfd474494630d3311df66ad82,30.51453,111.4034,8.07
5,2235ce29-ecb9-4b30-93c1-74a849b733a8,49ed207a048aa73a5e9773c4fa7315cb630be08555c16a9e0e375fe7d042c88c,41.1313,120.69131,9.4
6,c9a03585-1366-4e1d-a5af-ba229af772ca,f6155db478c4d91687d4cb900e09ab3c4596a161a447dd5cd9c9784b23937535,27.27412,116.57499,11.06
7,7c04fe6a-a313-46d7-8f58-2195ba2785f5,5e7d6c937537a85d18e81468f92cd2130ffeecd722f2218d474581b9b636c96e,56.65,16.45,9.13
8,4f353da3-7f0f-46aa-a1a0-7ee333606807,eab97185103f5130b849214d7753a3859b5372b6cbc726fb8855a59f145cf7d1,29.05016,108.45902,11.42
9,2fcd441d-dccb-4da1-b9b9-6de13539ec33,b9e708c259615123399c9c75beaeaa5d305ab5a165fc579b085a3f712290d443,38.035,140.85111,10.08
10,e984fdd5-14e3-4853-bde5-c6cd40800404,bb9091c0d7208549753df7773f47ef56eb0084d275bfc6a3caa7e5ec26409c31,56.1833,14.75,10.15
11,654ffb50-0633-4714-97c9-c595bc26cee7,332e04f741eca81040eea6d25ac266235505b7e061192c38ba6412974c8d84d7,-24.65451,25.90859,11.4
12,35bdd39f-7a0b-47cd-adb7-0ea3e62bd288,5a7e4fde26dbd30a3385e443bd921a6ec086abd11c12050411f37b962ccc6123,31.2575,113.67833,10.22
13,6ca6ee8a-8a73-42e3-b646-8c8e3b12a4dc,8aaa8183e793452dd36e50385ac33ad6f6d8a6f628511be4c01ad1eeb9ff12a3,49.78583,36.07528,9.6
14,e9c0c760-3055-4971-bceb-dae5230cf6e0,147d84042e40ee0e272329c99a34f170c81077939e53e07d5b8cd88be88a649c,45.0667,4.8333,9.94
15,2bb0c246-678a-404c-a77b-2295c492c3b8,e8cba78da4fb596599e24bf81e7778f54a6f9ac3bda5e7bcd69dbe06dd934dde,28.17032,120.47372,10.41
16,44233dd3-dc15-467c-aa93-9c924158c41c,732001ec6f1c11e731264bec16a80a468c2704a6b8a3aa6dec91f61ded728b93,31.43423,118.45861,8.68
17,abb23e10-4cad-43b6-a600-1b8f4607e8d7,2818769367f40864ef9483dc3673d6e444b40bb37357ed4a6ba1229f0d7eee9b,7.2221,125.8731,10.95
18,8c832096-becd-47a8-a69f-fa302c5fe640,b6d757a0914b6ff2b5fab48ef89eb2da433317ea04c640a2164c3e80077e24c4,59.3326,18.0649,9.1
19,036d2157-9104-41bb-8cf5-443bd7dc7e58,c1679e09145e2540adf74ccca0874884ec49f82f9331807721b021c5c95fbaaa,14.65444,-90.88944,12.06
20,88e9e67d-08ea-49be-9900-7a082d5379db,ac8c849b5e38e03f194d6e22bb7ba75b60c111ddfb4eb5624893241cf4326e06,-6.7128,111.2765,10.82
21,73c80239-97d3-4243-9dfd-35a051628e81,870e726824aa81d922809bc766b4c6cf2458c3f5ff10cc91e84cfeb7f77dfa29,-9.89778,-75.99333,10.23
22,3b5a12b5-28f0-4240-8505-ac13162cd9e7,edc60ac74c440792dd7faf388e3f691bedbe17b9c45da99c3ae1d47d431acbb0,-8.4788,117.4132,9.91
23,5abbd175-65d9-41a7-b5d2-b4a3c65a5f1e,a02493fb61f1dda4be3628147946a60877270216a6b64ae8553d41e87202b779,-7.0967,113.6588,11.07
24,74341f8f-4e91-4be5-802e-8f06265680a1,8ba855e085fc96f5778899d9b5ba901f971cc75db160f033783342a65bd8a486,45.51866,20.51146,9.3
25,1b1e619f-e6ba-4087-bc3f-c522c5f9a34a,727ce7a049b1a0c65f552d0272d767459983827b67379dc9576a9587ccc18e5e,39.6667,-8.2833,10.58
26,984aafbd-2fa3-4053-ac22-b420877247b1,e5e19d2f3bfdfc91e86ed2339836811c42cbd9ce017717545d22163d9a49ff79,-37.46973,-72.35366,9.41
27,feb45123-60be-4c06-8bf1-5e451380b532,d784f305e049650acaeeae0d230194405441f998e162e101fe9734a2d435762c,7.3488,125.7782,10.64
28,57de0aea-4faa-4851-824b-0c480a214236,e49c2d7b3ebf7b478a6a0366c26bb4215ce1537ae19eac2439e385d2247181ee,-7.69916,36.95722,11.01
29,1196a084-fbf5-483e-806b-18c13d4c43bc,e4e79179fcfddd87b9ff26ef6fa8ed0b511682f6ae9c29c17bf374a6b676286f,36.51667,136.56667,9.89
30,78e7e48a-d688-42bc-8201-27ee4d834287,e8ceafc98cc8f50e6467be1305c84219f91b939051bdc9b36e7584eb4923f46b,50.11992,18.39146,11.31
31,4daa52f7-d687-4781-995b-0876b6be04f8,cf3f73b182a6247b0fcedb538911a77a3f859f983ed5cdb6e050c81149f900ad,63.25,18.7167,8.82
32,5bc1df6d-d085-4e36-b639-cddadb9d16f7,e3b12e2a3ad69e0743873bb591844303beb19424085020fa4c7c7310e0d2cf76,52.6944,1.6352,10.74
33,229f9ca5-0098-4bd2-83b0-eca96628afd2,aea73312f849710f64c6af1b7759af6de5811dac3dbae514df6f2af2bb199338,41.9399,-87.6528,8.5
34,2949f604-f243-4cde-b834-6a9ab7892899,54c31e3cff39bf90119a86697ef35cd2cb36fe42bf930f4c8148a03170838eaf,6.44417,124.92639,10.5
35,a3d21d5a-ab47-40aa-b3c3-e81ffe93ffde,be4e1db3a4f543b32ce74503965576be05d1a3925cca2f76abfde75d0a7f97ed,-8.7334,118.0271,9.26
36,f80feca4-b210-4ca5-9eb2-3074d58bc0b8,7e64a42bc8886909a4290e0b446f2f2d6399278b6d2030d8775ab363013b45fd,29.21356,108.21372,10.22
37,7c771e96-97ff-4b77-adf5-31adffd73fbe,241ee5c98d60d318a4b072a401bcc6cff6bbc736323f04b42dcbb8310d9d4af7,32.03951,118.4351,11.31
38,462028ba-734a-416f-867c-e667dca9f06b,498406d9634db86d67f565d57a1178ccff995b3cf22f12cd269661fa32eb2d5b,53.98749,22.78487,7.45
39,6572638e-25c8-4953-a88e-9609862b0479,f8700b60c6ba2a7e356c7c3d7ffe34efe17b2f8a9d7cc4d883747e1bb9be863d,-8.5106,121.2793,10.45
40,de98067c-39dc-4c4f-8ea1-614e69e96aee,394148fcb288831d276e37481a3bf33b50a621863ea944fd37a3e3c76cd2c6d7,11.88435,3.44919,10.23
41,5826741a-9b7d-45ca-a490-dbaf9ed89a57,162d555f54a887b7ac2fec42ae624eda7b95e0e033f515f71bfbdac22ea43c05,-14.73,-70.51306,9.22
42,213e7cbe-20a6-4a89-b3d6-88a542ba44da,51bff8cf5118376f72bf574d0a7832fdbae1ecd6e06b118778a549973172f213,13.9226,121.81163,9.6
43,101533e4-7916-46b6-bf06-827199290546,3e40d1ac57d4bd13e91e817ddfde872d347cf8b9794a9a2586a3601963b95e30,17.0286,-97.6161,9.17
44,3f8aef95-b531-4af7-8923-d831bf5c171c,9b3db606ca830f1666ea8afaf86ef350c53eb33688a71153374709021daf43da,29.88931,106.70622,10.02
45,5381544f-fe60-4c32-b38c-caf756116d5e,b76db019014ada03f9548a2704fd362859a02cabb4e980905e159c00b0ae182b,32.46968,35.35626,9.45
46,0ec231b3-6a31-411a-ab71-f6ece1249b17,e57f517d74884cd11842de376a4c4bf6fd2e59a641cbf0905c149190c32636b4,40.03844,44.56369,10.41
47,d3d02b27-6279-46e4-a499-1c01117df28d,246ae95c31acb193162322e8219f718f006cbc27d5a9679fc849178dd8f781b4,38.46714,114.73171,9.53
48,b61f2fc0-b688-4fc8-86af-fe0aa427329d,792752393be14e39b19fb36994dcf28f00cf08dd297c252904ccdf1af8e75f1b,34.43278,116.59111,10.44
49,d51d2124-a73e-4255-83bb-f975cb48797e,2f78a6fc4799bc67f1bcfe94543fbb96e9b01ebfa4a75aa03d1c91dea6faff63,35.244,60.6225,10.09
50,f356e5be-7c97-4ae0-a168-6236acda7555,55c126e8e1a78271df0ca8b1b87a219e2eb656e7ef2db89b1b74f53a05f2884d,24.53333,111.3,8.86
51,6c2341e8-b2c8-4a8f-b49d-d3c999abb29f,e4c8341a597bcca65710045028e734115ce49efebb4dd902c187f849ca05bee7,49.82569,19.61763,10.69
52,1be2c030-dfa9-41ee-94f1-3522026ee7d8,5523c29d1038c24882ed0dbf0854f13446ff6f7ca0864773f88225ee7987194c,-8.333,122.933,8.52
